GHID,PH,PnN,LA,GL,GW,YPP,YLD
B1073,114.5,14.3,22.7,9.9,22.6,31.6,4954.4
B1074,117.1,12.5,23.8,9.7,25,29.2,4677.8
B1076,104.2,13.8,21.4,9.9,21.6,28,4545.4
B1113,105.3,13.3,22.4,10,23.1,28.7,4238.1
B1114,117.1,11.8,22.2,10.3,25.1,23.8,3528.4
B1116,115.3,13.1,22.8,10.4,23.1,29.5,4566.2
B1117,117.3,12.5,22.1,9.8,23.3,26.5,3561.8
B1118,114.3,13.2,24.4,10.2,24.6,31,5699.4
B1120,112,13,24.2,9.4,23.9,27.8,4594.4
B1121,120.3,12.7,23.5,10.3,23.4,29,2987.1
B1222,116.3,12.1,26.1,9.9,25.1,28.3,4969.8
B1224,124.4,11.9,25.6,10.4,26,28.6,4948.4
B1078,118.7,11.8,31.1,9.6,25,30.1,5221.4
B1124,124.2,13.1,21.9,10.3,22.8,27.9,3656.4
B1125,108.2,12.3,26.1,10,22.8,30.1,4014.4
B1126,124.8,11.8,19.1,10,25,27.3,4929.4
B1022,120,12.7,25.2,10.5,27,28.6,4911.1
B1024,110.8,13.9,22.2,9.8,26.7,31.8,6529.4
B1025,110.6,11.9,25.2,9.9,25.1,28.8,4035.1
B1026,109.4,12.4,28.6,9.9,26.4,29.7,6207.1
B1027,117,12.6,29.4,9.5,25.8,31.7,6120.1
B1029,134.8,11.3,35.2,9.4,25.8,27.2,5309.8
B1084,119.4,12.1,21.3,10.2,30.1,28.1,5211.4
B1112,122.8,13.8,25,10.1,24.8,32,5406.1
A1331,119.3,12.4,19.4,10.3,26.3,28.2,5476.8
A1332,118.2,12,30.7,9.6,24,29.2,4373.4
A1333,116.7,12.8,21.6,10.3,25.5,27.3,4755.4
A1294,123.3,13,25.2,10.3,25.9,29.5,4821.1
A1295,122.3,14.1,23.8,9.8,25.2,29.1,4165.8
A1296,115.4,13.5,22.6,9.7,23.2,26.1,4513.8
A1337,121.6,12.6,23.7,10.6,25,29.2,4994.4
A1338,116,12.2,23.2,10.7,25.2,28.1,5262.1
A1339,131,13,25.5,10.8,30,32.9,5248.4
A1297,118.6,14.6,24.3,9.9,25.8,33.9,5639.4
A1340,128.2,12.2,29.7,11.4,28.6,29.9,4622.1
A1341,126.1,10.4,27.1,10.3,25.1,23.7,4297.1
A1342,119.9,12.1,27.4,10.6,25.4,28.4,4986.1
A1343,125.5,13.4,22.9,10.5,23.9,28.7,5046.1
A1335,127.3,11.6,23,9.8,23.1,28.1,4799.8
A1336,117.8,12.3,20,9.6,24.5,27.9,4623.4
M1385,111.2,14.1,22.2,9.1,19.7,26.2,4381.4
M1404,136.6,12,28.9,8.8,22.1,29.6,5106.4
M1405,103.1,13.3,22.2,9.2,22.3,27.6,5294.8
M1406,97.6,13.2,18,9.4,22.8,26.3,5253.8
M1407,97.7,12.7,21.3,9.4,21.5,27.1,5368.1
M1408,100.4,12.7,20.4,9,22.3,28,5504.1
M1412,130,13.1,21.4,9.5,23.9,29.7,4892.1
M1413,117.7,11.9,30.3,9.5,22.7,28.5,3082.1
M1414,111.7,11.8,24.3,9.2,22.3,27.5,3987
M1417,124.4,11.7,21.5,9.4,23,26.3,3832.8
M1419,115.9,14.2,20.9,9.7,25,31.2,4084.4
M1420,117.8,13.1,23.5,9.1,25.8,27.4,3915.4
M1425,121.4,10.8,31.6,8.2,27.2,27.7,3283.8
M1429,119.9,13.5,23.9,9.5,25.3,32.1,4975.8
M1430,115.4,12.3,25.9,9.9,22.5,25.3,4530.1
M1431,120.2,11.7,25,9.6,23.9,27.5,4313.8
M1432,110.4,13.7,20.4,9.9,24.2,29.1,5269.4
M1433,116.9,12.1,24.4,9.5,25.1,26.5,4559.1
M1380,127.2,12.4,24.1,9.2,26.5,29.6,4963.8
M1438,110.6,12.2,26.5,9.6,25.3,28,4973.8
B1162,125.4,12.5,23.4,10.5,25.7,28.9,4906.8
B1030,143.5,11.7,28.3,9.3,24.8,32.4,4858.4
B1171,134,12.7,24.7,10.1,27.3,30.5,5559.8
B1237,124.5,12.6,24.5,10.6,25.1,28.1,4605.8
B1091,116.3,12.1,26.5,10.2,26.3,29.4,4173.4
M1378,117.9,12.5,22,9.2,26.2,29,4001.8
B1167,129.9,12,24.5,9.7,22.5,27.6,4789.8
B1168,116.5,12.9,25.3,9.7,23.9,26.2,4493.8
B1170,123.9,12.8,31.2,10.3,28.3,30.2,4929.1
B1088,116.3,13.8,23.8,10.2,24.7,31.9,4821.4
B1236,117.6,11.7,23.8,9.7,21.8,26.4,4090.8
B1093,121.4,12.1,25.5,10,26.8,29.5,5158.4
B1172,124.4,12.9,26.4,10.1,30.3,32.9,5564.4
B1094,127,12,28,9.7,25.3,28.7,5211.4
B1040,123.3,11.6,25,10.5,25.1,26.3,4321.4
B1238,129.6,12,23.6,10.7,29.2,27.9,4680.8
B1173,139.5,12.5,28.3,9.8,24.5,29.7,4844.4
B1174,122.8,12.7,23.9,10.7,25.3,29.3,5044.4
B1175,114.8,12.2,22,9.9,22,26.6,5346.1
B1239,120.4,11.5,22.3,9.8,25.1,29.1,4533.4
B1241,125.6,12,25.3,9.9,25.6,31.7,3455.8
B1242,125.5,14.2,23.2,9.8,26.9,33,4373.1
B1243,115.7,12.8,23.6,10,27.7,29.4,4481.1
B1128,127.3,13,25.6,10.4,23.3,28.9,4139.1
B1251,124.7,12.6,23.2,10.3,25.1,26.6,4685.4
B1129,112.8,12.7,21.2,10.1,24.6,28.9,4792.4
B1176,119.5,13.5,21.4,9.6,22.8,29.6,4969.4
B1177,116.3,12,24.1,9.8,24.4,28.6,4550.4
B1130,112.5,11.7,23.7,10.1,25,27,4499.8
B1244,118.6,12.9,22.5,9.7,21.3,29.8,4951.8
B1179,121.7,12.1,23.3,10,23.7,26.2,4290.4
B1180,107.8,12.3,23.9,9.9,25.1,27.6,5151.8
B1181,109.7,12.3,22.1,9.3,22.8,27.3,4046.4
B1183,130.7,12.7,31.2,10,29.4,30,4350.1
B1245,127.1,11.6,35.2,10,24,29,4282.8
B1247,132.1,13.6,25.1,9.8,22.7,33.1,5217.8
B1133,124.2,12,27.3,9.8,24.3,28.4,4571.8
B1135,118.4,13,26.3,9.8,24.3,27.9,4307.1
B1136,111.7,13.4,21.3,9.3,23.7,27.9,4709.4
B1137,115.4,12.6,23.9,9.7,24.5,28.4,4548.8
B1138,124.4,12.1,26.8,9.7,25.1,28.9,4659.4
B1041,114.9,12.6,25.2,10.1,26.2,31,5547.8
B1042,112.9,12.8,25.4,10.1,27.3,29.3,4996.1
B1139,111.6,12.1,25.6,9.9,26.7,29.4,4331.8
B1140,121.9,12.3,22.8,9.6,23.9,27.8,4989.1
B1141,119.3,13.6,23.9,10,28,32.9,4795.1
B1142,114.2,14.3,24.1,9.9,26.9,32,4715.8
B1143,115.3,13.1,24.4,9.7,26.7,29.8,5505.1
B1144,114,12.7,24.8,9.6,26.2,28.2,4678.4
B1043,116.3,12.4,26.7,9.2,25,27.7,5268.4
B1044,115.5,13.9,20.2,10,24,29.2,4174.1
B1045,119.6,12,22.5,10,23.5,27,4545.1
B1145,122.3,12,25.2,9.9,23.2,28.4,4683.1
B1146,117.4,12.5,24,9.8,24.2,28.9,4434.1
B1184,117.9,12.2,22.8,9.7,25.6,28.6,4818.4
B1185,119.9,12.7,28.2,9.9,24.1,31.4,5811.8
B1186,119.2,13.8,24,9.5,22.2,29.2,4426.1
B1187,132.5,12.2,26.7,9.9,28.5,29.8,5103.8
B1188,118.7,12.2,20.9,9.7,25.1,26.4,5215.1
B1189,121.7,13,21.1,9.5,24.3,28.5,4819.4
B1190,132.4,12.1,21.8,10,24.1,28,4940.8
B1191,129.5,13.1,22.8,10.8,23.6,30.5,4682.1
B1192,126.1,12.8,24.3,10.6,23.1,28.8,4876.1
B1047,118.9,13.3,24.5,9.5,25.9,27.3,4364.4
B1193,119.4,12.3,21.8,9.9,26.2,27.7,4713.8
B1194,121.1,11.7,20.4,9.5,24.6,27,4778.1
B1195,127.3,11.9,26.2,9.8,27.3,29.6,4727.8
B1196,123,12.1,22.4,10,26.5,29.2,5325.8
B1197,117.4,12.5,26.7,9.9,26.7,29.8,5703.8
B1147,125.4,12.8,22,9.9,28.5,30.4,5316.8
A1259,112.2,13.6,24.5,10.1,26.3,31,5053.4
